FECHA (YYMMDD);HORA (HHMM);;
200117;1200;108,595;
200117;1300;145,783;
200117;1400;113,575;
200117;1500;126,988;
200117;1600;131,937;
200117;1700;190,806;
200117;1800;240,494;
200117;1900;224,567;
200117;2000;233,146;
200117;2100;224,74;
200117;2200;192,651;
200117;2300;208,074;
200118;0000;197,146;
200118;0100;292,139;
200118;0200;325,583;
200118;0300;1,65031;
200118;0400;268,44;
200118;0500;333,562;
200118;0600;318,055;
200118;0700;320,419;
200118;0800;130,622;
200118;0900;142,747;
200118;1000;188,03;
200118;1100;129,74;
200118;1200;136,192;
200118;1300;150,536;
200118;1400;148,087;
200118;1500;104,515;
200118;1600;112,451;
200118;1700;210,655;
200118;1800;208,121;
200118;1900;220,651;
200118;2000;211,756;
200118;2100;191,594;
200118;2200;192,143;
200118;2300;184,622;
200119;0000;181,625;
200119;0100;174,395;
200119;0200;104,336;
200119;0300;133,861;
200119;0400;96,5571;
200119;0500;154,545;
200119;0600;172,418;
200119;0700;127,978;
200119;0800;135,783;
200119;0900;164,508;
200119;1000;162,36;
200119;1100;194,791;
200119;1200;164,99;
200119;1300;172,328;
200119;1400;190,127;
200119;1500;205,569;
200119;1600;242,309;
200119;1700;246,426;
200119;1800;239,602;
200119;1900;250,685;
200119;2000;252,45;
200119;2100;218,128;
200119;2200;187,761;
200119;2300;195,874;
200120;0000;193,324;
200120;0100;174,798;
200120;0200;181,441;
200120;0300;157,813;
200120;0400;140,568;
200120;0500;135,721;
200120;0600;147,918;
200120;0700;165,198;
200120;0800;182,864;
200120;0900;163,598;
200120;1000;151,014;
200120;1100;177,812;
200120;1200;157,168;
200120;1300;162,904;
200120;1400;127,258;
200120;1500;141,16;
200120;1600;141,908;
200120;1700;134,883;
200120;1800;144,694;
200120;1900;166,721;
200120;2000;214,936;
200120;2100;212,898;
200120;2200;192,807;
200120;2300;183,434;
200121;0000;138,964;
200121;0100;185,495;
200121;0200;158,562;
200121;0300;161,781;
200121;0400;305,172;
200121;0500;296,507;
200121;0600;122,214;
200121;0700;98,6884;
200121;0800;137,692;
200121;0900;122,425;
200121;1000;139,589;
200121;1100;147,755;
200121;1200;162,594;
200121;1300;147,116;
200121;1400;127,338;
200121;1500;107,716;
200121;1600;106,366;
200121;1700;129,381;
200121;1800;206,749;
200121;1900;222,169;
200121;2000;221,038;
200121;2100;220,014;
200121;2200;204,135;
200121;2300;176,956;
200122;0000;196,621;
200122;0100;330,724;
200122;0200;136,108;
200122;0300;172,547;
200122;0400;97,1226;
200122;0500;31,5308;
200122;0600;262,206;
200122;0700;144,323;
200122;0800;112,952;
200122;0900;324,898;
200122;1000;302,932;
200122;1100;263,609;
200122;1200;281,472;
200122;1300;266,773;
200122;1400;260,367;
200122;1500;267,177;
200122;1600;263,139;
200122;1700;247,505;
200122;1800;248,683;
200122;1900;209,698;
200122;2000;234,281;
200122;2100;245,592;
200122;2200;220,572;
200122;2300;210,303;
200123;0000;210,121;
200123;0100;201,638;
200123;0200;123,512;
200123;0300;315,932;
200123;0400;296,892;
200123;0500;325,684;
200123;0600;340,82;
200123;0700;342,107;
200123;0800;326,289;
200123;0900;328,422;
200123;1000;127,098;
200123;1100;128,806;
200123;1200;116,053;
200123;1300;121,659;
200123;1400;252,116;
200123;1500;233,299;
200123;1600;252,753;
200123;1700;258,193;
200123;1800;215,177;
200123;1900;216,021;
200123;2000;228,324;
200123;2100;212,328;
200123;2200;188,558;
200123;2300;191,532;
200124;0000;177,605;
200124;0100;169,199;
200124;0200;192,059;
200124;0300;172,983;
200124;0400;162,236;
200124;0500;242,457;
200124;0600;138,16;
200124;0700;131,465;
200124;0800;128,924;
200124;0900;155,975;
200124;1000;241,535;
200124;1100;162,812;
200124;1200;148,146;
200124;1300;138,398;
200124;1400;126,901;
200124;1500;114,636;
200124;1600;111,227;
200124;1700;111,819;
200124;1800;114,045;
200124;1900;129,88;
200124;2000;201,228;
200124;2100;199,594;
200124;2200;191,493;
200124;2300;176,241;
200125;0000;196,88;
200125;0100;170,795;
200125;0200;103,214;
200125;0300;110,946;
200125;0400;117,221;
200125;0500;150,553;
200125;0600;143,247;
200125;0700;127,829;
200125;0800;128,121;
200125;0900;156,345;
200125;1000;181,753;
200125;1100;123,297;
200125;1200;130,463;
200125;1300;113,803;
200125;1400;125,207;
200125;1500;126,26;
200125;1600;119,553;
200125;1700;116,388;
200125;1800;116,14;
200125;1900;97,368;
200125;2000;250,046;
200125;2100;200,585;
200125;2200;168,926;
200125;2300;185,149;
200126;0000;187,488;
200126;0100;181,802;
200126;0200;173,734;
200126;0300;159,733;
200126;0400;121,805;
200126;0500;124,06;
200126;0600;141,808;
200126;0700;138,404;
200126;0800;145,463;
200126;0900;162,469;
200126;1000;160,603;
200126;1100;148,069;
200126;1200;140,916;
