FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200118;1800;1,42;;;
200118;1900;1,39;;;
200118;2000;1,12;;;
200118;2100;1,05;;;
200118;2200;1,03;;;
200118;2300;1,02;;;
200119;0000;1,04;;;
200119;0100;1,03;;;
200119;0200;1,03;;;
200119;0300;1;;;
200119;0400;1,03;;;
200119;0500;1,02;;;
200119;0600;1,01;;;
200119;0700;1,01;;;
200119;0800;1;;;
200119;0900;1,02;;;
200119;1000;1,07;;;
200119;1100;1,02;;;
200119;1200;1,06;;;
200119;1300;1,22;;;
200119;1400;1,18;;;
200119;1500;1,17;;;
200119;1600;1,07;;;
200119;1700;1,14;;;
200119;1800;1,07;;;
200119;1900;1,04;;;
200119;2000;1,07;;;
200119;2100;1,09;;;
200119;2200;1,06;;;
200119;2300;1,07;;;
200120;0000;1,07;;;
200120;0100;1,08;;;
200120;0200;1,07;;;
200120;0300;1,04;;;
200120;0400;1,02;;;
200120;0500;1,04;;;
200120;0600;1,04;;;
200120;0700;1,01;;;
200120;0800;1,02;;;
200120;0900;1,02;;;
200120;1000;1,05;;;
200120;1100;1,04;;;
200120;1200;1,15;;;
200120;1300;1,31;;;
200120;1400;1,33;;;
200120;1500;1,45;;;
200120;1600;1,59;;;
200120;1700;1,9;;;
200120;1800;1,77;;;
200120;1900;1,22;;;
200120;2000;1,09;;;
200120;2100;1,02;;;
200120;2200;1,01;;;
200120;2300;1,01;;;
200121;0000;1,02;;;
200121;0100;1,03;;;
200121;0200;1,05;;;
200121;0300;1,07;;;
200121;0400;1,24;;;
200121;0500;1,67;;;
200121;0600;1,53;;;
200121;0700;1,68;;;
200121;0800;1,66;;;
200121;0900;1,74;;;
200121;1000;;;;
200121;1100;1,2;;;
200121;1200;1,18;;;
200121;1300;1,02;;;
200121;1400;1,21;;;
200121;1500;1,46;;;
200121;1600;1,95;;;
200121;1700;2,1;;;
200121;1800;1,11;;;
200121;1900;1,12;;;
