FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200116;1300;0,15;;;
200116;1400;0,16;;;
200116;1500;0,43;;;
200116;1600;0,2;;;
200116;1700;0,25;;;
200116;1800;0,23;;;
200116;1900;0,31;;;
200116;2000;0,52;;;
200116;2100;0,33;;;
200116;2200;0,68;;;
200116;2300;0,89;;;
200117;0000;0,51;;;
200117;0100;0,39;;;
200117;0200;0,41;;;
200117;0300;0,37;;;
200117;0400;0,36;;;
200117;0500;0,4;;;
200117;0600;0,54;;;
200117;0700;0,51;;;
200117;0800;0,27;;;
200117;0900;0,28;;;
200117;1000;;;;
200117;1100;0,37;;;
200117;1200;0,51;;;
200117;1300;0,5;;;
200117;1400;0,57;;;
200117;1500;0,5;;;
200117;1600;0,46;;;
200117;1700;0,41;;;
200117;1800;0,34;;;
200117;1900;0,32;;;
200117;2000;0,29;;;
200117;2100;0,29;;;
200117;2200;0,31;;;
200117;2300;0,48;;;
200118;0000;0,48;;;
200118;0100;2,32;;;
200118;0200;2,01;;;
200118;0300;0,52;;;
200118;0400;2,51;;;
200118;0500;2,11;;;
200118;0600;0,76;;;
200118;0700;0,61;;;
200118;0800;0,34;;;
200118;0900;0,26;;;
200118;1000;0,24;;;
200118;1100;0,25;;;
200118;1200;0,27;;;
200118;1300;0,28;;;
200118;1400;0,29;;;
200118;1500;0,33;;;
200118;1600;0,33;;;
200118;1700;0,33;;;
200118;1800;0,34;;;
200118;1900;0,35;;;
200118;2000;0,33;;;
200118;2100;0,34;;;
200118;2200;0,37;;;
200118;2300;0,39;;;
200119;0000;0,56;;;
200119;0100;0,31;;;
200119;0200;0,3;;;
200119;0300;0,28;;;
200119;0400;0,25;;;
200119;0500;0,24;;;
200119;0600;0,24;;;
200119;0700;0,25;;;
200119;0800;0,23;;;
200119;0900;0,23;;;
200119;1000;0,22;;;
200119;1100;0,23;;;
200119;1200;0,27;;;
200119;1300;0,25;;;
200119;1400;0,27;;;
200119;1500;0,28;;;
200119;1600;0,27;;;
200119;1700;0,25;;;
200119;1800;0,25;;;
200119;1900;0,25;;;
200119;2000;0,26;;;
200119;2100;0,29;;;
200119;2200;0,33;;;
200119;2300;0,36;;;
200120;0000;0,25;;;
200120;0100;0,22;;;
200120;0200;0,2;;;
200120;0300;0,2;;;
200120;0400;0,21;;;
200120;0500;0,22;;;
200120;0600;0,28;;;
200120;0700;0,29;;;
200120;0800;0,24;;;
200120;0900;0,24;;;
200120;1000;0,21;;;
200120;1100;0,22;;;
200120;1200;0,24;;;
200120;1300;0,25;;;
200120;1400;0,24;;;
200120;1500;0,26;;;
200120;1600;0,28;;;
200120;1700;0,28;;;
