FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200117;2200;16;;;
200117;2300;10;;;
200118;0000;6;;;
200118;0100;7;;;
200118;0200;3;;;
200118;0300;2;;;
200118;0400;5;;;
200118;0500;3;;;
200118;0600;2;;;
200118;0700;3;;;
200118;0800;9;;;
200118;0900;15;;;
200118;1000;21;;;
200118;1100;27;;;
200118;1200;32;;;
200118;1300;34;;;
200118;1400;35;;;
200118;1500;38;;;
200118;1600;39;;;
200118;1700;25;;;
200118;1800;21;;;
200118;1900;19;;;
200118;2000;19;;;
200118;2100;16;;;
200118;2200;14;;;
200118;2300;14;;;
200119;0000;8;;;
200119;0100;12;;;
200119;0200;11;;;
200119;0300;13;;;
200119;0400;13;;;
200119;0500;13;;;
200119;0600;12;;;
200119;0700;14;;;
200119;0800;17;;;
200119;0900;19;;;
200119;1000;21;;;
200119;1100;22;;;
200119;1200;24;;;
200119;1300;26;;;
200119;1400;25;;;
200119;1500;20;;;
200119;1600;19;;;
200119;1700;18;;;
200119;1800;17;;;
200119;1900;17;;;
200119;2000;15;;;
200119;2100;13;;;
200119;2200;11;;;
200119;2300;10;;;
200120;0000;12;;;
200120;0100;13;;;
200120;0200;11;;;
200120;0300;10;;;
200120;0400;8;;;
200120;0500;6;;;
200120;0600;4;;;
200120;0700;7;;;
200120;0800;12;;;
200120;0900;20;;;
200120;1000;23;;;
200120;1100;25;;;
200120;1200;31;;;
200120;1300;35;;;
200120;1400;37;;;
200120;1500;39;;;
200120;1600;38;;;
200120;1700;37;;;
200120;1800;31;;;
200120;1900;24;;;
200120;2000;13;;;
200120;2100;16;;;
200120;2200;15;;;
200120;2300;15;;;
200121;0000;13;;;
200121;0100;11;;;
200121;0200;7;;;
200121;0300;7;;;
200121;0400;6;;;
200121;0500;6;;;
200121;0600;3;;;
200121;0700;7;;;
200121;0800;12;;;
200121;0900;18;;;
200121;1000;;;;
200121;1100;31;;;
200121;1200;31;;;
200121;1300;31;;;
200121;1400;31;;;
200121;1500;32;;;
200121;1600;35;;;
200121;1700;35;;;
200121;1800;21;;;
200121;1900;18;;;
200121;2000;15;;;
200121;2100;14;;;
200121;2200;13;;;
200121;2300;12;;;
200122;0000;10;;;
200122;0100;7;;;
200122;0200;7;;;
200122;0300;7;;;
200122;0400;8;;;
200122;0500;4;;;
200122;0600;3;;;
200122;0700;6;;;
200122;0800;11;;;
200122;0900;13;;;
200122;1000;15;;;
200122;1100;15;;;
200122;1200;16;;;
200122;1300;17;;;
200122;1400;18;;;
200122;1500;19;;;
200122;1600;21;;;
200122;1700;19;;;
200122;1800;18;;;
200122;1900;17;;;
200122;2000;14;;;
200122;2100;13;;;
200122;2200;12;;;
