FECHA (YYMMDD);HORA (HHMM);;
200119;0100;0,597148;
200119;0200;0,61193;
200119;0300;0,725033;
200119;0400;0,650539;
200119;0500;0,43293;
200119;0600;0,794372;
200119;0700;0,735393;
200119;0800;1,25536;
200119;0900;1,3217;
200119;1000;0,754402;
200119;1100;0,900185;
200119;1200;0,687212;
200119;1300;0,759533;
200119;1400;1,18099;
200119;1500;2,05347;
200119;1600;2,19629;
200119;1700;2,9233;
200119;1800;1,84743;
200119;1900;1,38909;
200119;2000;1,3927;
200119;2100;1,1227;
200119;2200;0,836934;
200119;2300;0,904351;
200120;0000;1,18134;
200120;0100;0,603255;
200120;0200;0,733374;
200120;0300;0,421963;
200120;0400;0,193252;
200120;0500;0,551079;
200120;0600;0,660042;
200120;0700;0,987286;
200120;0800;0,836031;
200120;0900;0,946035;
200120;1000;1,23809;
200120;1100;1,09805;
200120;1200;0,950502;
200120;1300;1,13463;
200120;1400;1,41115;
200120;1500;1,85924;
200120;1600;1,67614;
200120;1700;2,12398;
200120;1800;2,43751;
200120;1900;1,36943;
200120;2000;1,63185;
200120;2100;1,96601;
200120;2200;1,72745;
200120;2300;1,57294;
200121;0000;1,00348;
200121;0100;0,341495;
200121;0200;0,333373;
200121;0300;0,0316268;
200121;0400;0,136762;
200121;0500;0,217397;
200121;0600;0,264979;
200121;0700;1,56929;
200121;0800;1,56864;
200121;0900;0,991409;
200121;1000;1,36454;
200121;1100;1,08066;
200121;1200;1,67895;
200121;1300;1,65073;
200121;1400;1,32841;
200121;1500;1,26297;
200121;1600;2,06986;
200121;1700;1,43376;
200121;1800;2,36482;
200121;1900;2,10642;
200121;2000;1,76585;
200121;2100;1,6966;
200121;2200;1,01507;
200121;2300;0,86375;
200122;0000;0,349559;
200122;0100;0,526323;
200122;0200;0,132764;
200122;0300;0,248242;
200122;0400;0,498438;
200122;0500;0,200613;
200122;0600;0,382543;
200122;0700;0,965827;
200122;0800;0,582544;
200122;0900;2,42911;
200122;1000;2,15585;
200122;1100;2,06768;
200122;1200;2,19475;
200122;1300;2,77794;
200122;1400;2,88114;
200122;1500;2,53262;
200122;1600;2,62248;
200122;1700;2,57421;
200122;1800;2,32304;
200122;1900;1,11837;
200122;2000;1,5674;
200122;2100;1,63945;
200122;2200;1,21328;
200122;2300;1,3267;
200123;0000;1,30062;
200123;0100;0,498523;
200123;0200;0,854479;
200123;0300;1,36336;
200123;0400;0,888371;
200123;0500;0,889064;
200123;0600;1,03782;
200123;0700;1,27125;
200123;0800;1,11464;
200123;0900;0,621966;
200123;1000;0,971723;
200123;1100;0,868893;
200123;1200;1,44101;
200123;1300;0,768406;
200123;1400;2,12333;
200123;1500;2,63258;
200123;1600;2,02537;
200123;1700;1,956;
200123;1800;2,66138;
200123;1900;2,33233;
200123;2000;2,17388;
200123;2100;1,63117;
200123;2200;1,87194;
200123;2300;1,42809;
200124;0000;1,16291;
200124;0100;0,68825;
200124;0200;0,740218;
200124;0300;0,739233;
200124;0400;0,481869;
200124;0500;0,208581;
200124;0600;0,328387;
200124;0700;1,65835;
200124;0800;1,6904;
200124;0900;0,886729;
200124;1000;0,673837;
200124;1100;1,15248;
200124;1200;2,02757;
200124;1300;2,30688;
200124;1400;2,81851;
200124;1500;3,01321;
200124;1600;3,08356;
200124;1700;2,73212;
200124;1800;2,59696;
200124;1900;1,19566;
200124;2000;1,30586;
200124;2100;1,28691;
200124;2200;0,912341;
200124;2300;0,558722;
200125;0000;1,42697;
200125;0100;2,23166;
200125;0200;1,79722;
200125;0300;1,69466;
200125;0400;1,33391;
200125;0500;1,25215;
200125;0600;0,712669;
200125;0700;2,0667;
200125;0800;2,30263;
200125;0900;1,35463;
200125;1000;0,815965;
200125;1100;1,60458;
200125;1200;1,14119;
200125;1300;1,90749;
200125;1400;2,19372;
200125;1500;2,55232;
200125;1600;1,98365;
200125;1700;2,83756;
200125;1800;2,59689;
200125;1900;1,29773;
200125;2000;0,147987;
200125;2100;0,560925;
200125;2200;0,713593;
200125;2300;1,5406;
200126;0000;1,67471;
200126;0100;1,78543;
200126;0200;1,74229;
200126;0300;1,53522;
200126;0400;1,7709;
200126;0500;1,17677;
200126;0600;1,42003;
200126;0700;1,70479;
200126;0800;2,14768;
200126;0900;1,19571;
200126;1000;1,35721;
200126;1100;1,65343;
200126;1200;1,79729;
200126;1300;2,35508;
200126;1400;2,77085;
200126;1500;3,37119;
200126;1600;3,79311;
200126;1700;3,93882;
200126;1800;3,59201;
200126;1900;3,1034;
200126;2000;1,58419;
200126;2100;1,8172;
200126;2200;2,24449;
200126;2300;1,8157;
200127;0000;1,98414;
200127;0100;2,14083;
200127;0200;1,74231;
200127;0300;1,55262;
200127;0400;1,44846;
200127;0500;1,77494;
200127;0600;1,4119;
200127;0700;1,97783;
200127;0800;1,9484;
200127;0900;1,58883;
200127;1000;0,952417;
200127;1100;1,28779;
200127;1200;1,87885;
200127;1300;2,24697;
200127;1400;2,2585;
200127;1500;3,03069;
200127;1600;3,11459;
200127;1700;3,27703;
200127;1800;2,90371;
200127;1900;1,55147;
200127;2000;1,53768;
200127;2100;1,52165;
200127;2200;1,10953;
200127;2300;0,716068;
200128;0000;0,773817;
200128;0100;1,85425;
200128;0200;1,30552;
200128;0300;0,785994;
200128;0400;1,01804;
200128;0500;1,12402;
200128;0600;1,55048;
200128;0700;1,91456;
200128;0800;1,94177;
200128;0900;1,57118;
200128;1000;1,8309;
200128;1100;2,5238;
200128;1200;2,6425;
200128;1300;2,80405;
200128;1400;3,39028;
200128;1500;2,74489;
200128;1600;2,98321;
200128;1700;2,87106;
200128;1800;3,81218;
200128;1900;2,71853;
200128;2000;1,28354;
200128;2100;1,92632;
200128;2200;1,75436;
200128;2300;1,43562;
200129;0000;1,2711;
200129;0100;2,08162;
200129;0200;2,07596;
200129;0300;2,01256;
200129;0400;1,89431;
200129;0500;1,71049;
200129;0600;2,20473;
200129;0700;2,1931;
200129;0800;2,32738;
200129;0900;2,22137;
200129;1000;;
200129;1100;1,73352;
200129;1200;1,90445;
200129;1300;1,32116;
200129;1400;1,86539;
