FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200113;1600;1,47071;;;
200113;1700;1;;;
200113;1800;1;;;
200113;1900;1;;;
200113;2000;1,41691;;;
200113;2100;1,21021;;;
200113;2200;1,03636;;;
200113;2300;2,88493;;;
200114;0000;2,04956;;;
200114;0100;1;;;
200114;0200;1;;;
200114;0300;1;;;
200114;0400;1;;;
200114;0500;1,43372;;;
200114;0600;9,13481;;;
200114;0700;3,84924;;;
200114;0800;1,58469;;;
200114;0900;1,02152;;;
200114;1000;1;;;
200114;1100;1,12666;;;
200114;1200;1;;;
200114;1300;1,13507;;;
200114;1400;1;;;
200114;1500;1,02635;;;
200114;1600;2,10802;;;
200114;1700;1;;;
200114;1800;1;;;
200114;1900;1;;;
200114;2000;1;;;
200114;2100;1;;;
200114;2200;1,10508;;;
200114;2300;1,43231;;;
200115;0000;1,00618;;;
200115;0100;1;;;
200115;0200;1;;;
200115;0300;1;;;
200115;0400;1;;;
200115;0500;1;;;
200115;0600;1,93371;;;
200115;0700;2,62516;;;
200115;0800;1,35785;;;
200115;0900;1,02386;;;
200115;1000;1,03912;;;
200115;1100;1,14893;;;
200115;1200;1;;;
200115;1300;1,01261;;;
200115;1400;1;;;
200115;1500;1,16826;;;
200115;1600;5,33833;;;
200115;1700;1;;;
200115;1800;1;;;
200115;1900;1;;;
200115;2000;1;;;
200115;2100;1;;;
200115;2200;1,22203;;;
200115;2300;1,23596;;;
200116;0000;1;;;
200116;0100;1,09114;;;
200116;0200;1;;;
200116;0300;1;;;
200116;0400;1,00276;;;
200116;0500;1,48739;;;
200116;0600;1,19723;;;
200116;0700;2,72947;;;
200116;0800;1,44396;;;
200116;0900;1,19244;;;
200116;1000;1,07364;;;
200116;1100;1;;;
200116;1200;1,05378;;;
200116;1300;1;;;
200116;1400;1;;;
200116;1500;1;;;
200116;1600;1;;;
200116;1700;1,06028;;;
200116;1800;1,18009;;;
200116;1900;1;;;
200116;2000;17,6862;;;
200116;2100;2,26394;;;
200116;2200;8,07703;;;
200116;2300;18,2845;;;
200117;0000;10,1972;;;
200117;0100;6,97164;;;
200117;0200;9,36607;;;
200117;0300;8,83086;;;
200117;0400;11,4485;;;
200117;0500;20,0177;;;
200117;0600;38,4442;;;
200117;0700;24,7879;;;
200117;0800;6,40233;;;
200117;0900;1,51655;;;
200117;1000;1,00102;;;
200117;1100;;;;
200117;1200;1;;;
200117;1300;1;;;
200117;1400;1;;;
200117;1500;1;;;
200117;1600;1;;;
200117;1700;1,59171;;;
200117;1800;1,02179;;;
200117;1900;1,41384;;;
200117;2000;1,21813;;;
200117;2100;1,69368;;;
200117;2200;1,06271;;;
200117;2300;1,32716;;;
200118;0000;2,08826;;;
200118;0100;1,61607;;;
200118;0200;4,13644;;;
200118;0300;2,14999;;;
200118;0400;5,00703;;;
200118;0500;2,92096;;;
200118;0600;9,08246;;;
200118;0700;18,3604;;;
