FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200118;0300;55;;;
200118;0400;183;;;
200118;0500;139;;;
200118;0600;58;;;
200118;0700;55;;;
200118;0800;39;;;
200118;0900;31;;;
200118;1000;29;;;
200118;1100;40;;;
200118;1200;36;;;
200118;1300;48;;;
200118;1400;32;;;
200118;1500;36;;;
200118;1600;39;;;
200118;1700;30;;;
200118;1800;31;;;
200118;1900;29;;;
200118;2000;32;;;
200118;2100;29;;;
200118;2200;29;;;
200118;2300;;;;
200119;0000;45;;;
200119;0100;22;;;
200119;0200;30;;;
200119;0300;27;;;
200119;0400;25;;;
200119;0500;23;;;
200119;0600;22;;;
200119;0700;23;;;
200119;0800;27;;;
200119;0900;25;;;
200119;1000;30;;;
200119;1100;26;;;
200119;1200;28;;;
200119;1300;27;;;
200119;1400;34;;;
200119;1500;31;;;
200119;1600;29;;;
200119;1700;33;;;
200119;1800;21;;;
200119;1900;22;;;
200119;2000;21;;;
200119;2100;25;;;
200119;2200;27;;;
200119;2300;24;;;
200120;0000;28;;;
200120;0100;28;;;
200120;0200;28;;;
200120;0300;23;;;
200120;0400;26;;;
200120;0500;18;;;
200120;0600;25;;;
200120;0700;28;;;
200120;0800;31;;;
200120;0900;38;;;
200120;1000;40;;;
200120;1100;41;;;
200120;1200;36;;;
200120;1300;46;;;
200120;1400;31;;;
200120;1500;33;;;
200120;1600;48;;;
200120;1700;31;;;
200120;1800;29;;;
200120;1900;31;;;
200120;2000;39;;;
200120;2100;30;;;
200120;2200;29;;;
200120;2300;28;;;
200121;0000;27;;;
200121;0100;21;;;
200121;0200;31;;;
200121;0300;28;;;
200121;0400;70;;;
200121;0500;221;;;
200121;0600;86;;;
200121;0700;47;;;
200121;0800;28;;;
200121;0900;36;;;
200121;1000;;;;
200121;1100;;;;
200121;1200;;;25;
200121;1300;;;9;
200121;1400;;;5;
200121;1500;;;2;
200121;1600;;;5;
200121;1700;;;6;
200121;1800;;;14;
200121;1900;;;8;
200121;2000;;;7;
200121;2100;;;2;
200121;2200;;;4;
200121;2300;;;3;
200122;0000;;;4;
200122;0100;;;4;
200122;0200;;;4;
200122;0300;;;3;
200122;0400;;;4;
200122;0500;;;8;
200122;0600;;;7;
200122;0700;;;6;
200122;0800;;;3;
200122;0900;;;4;
200122;1000;;;7;
200122;1100;;;5;
200122;1200;;;6;
200122;1300;;;11;
200122;1400;;;7;
200122;1500;;;6;
200122;1600;;;8;
200122;1700;;;9;
200122;1800;;;9;
200122;1900;;;5;
200122;2000;;;3;
200122;2100;;;6;
200122;2200;;;5;
200122;2300;;;4;
200123;0000;;;6;
200123;0100;;;6;
200123;0200;;;7;
200123;0300;;;9;
200123;0400;;;7;
200123;0500;;;4;
200123;0600;;;7;
200123;0700;;;5;
200123;0800;;;5;
200123;0900;;;5;
200123;1000;;;7;
200123;1100;;;15;
200123;1200;;;7;
200123;1300;;;5;
200123;1400;;;7;
200123;1500;;;7;
200123;1600;;;9;
200123;1700;;;5;
200123;1800;;;3;
200123;1900;;;4;
200123;2000;;;2;
200123;2100;;;2;
200123;2200;;;4;
200123;2300;;;5;
200124;0000;;;8;
200124;0100;;;5;
200124;0200;;;4;
200124;0300;;;5;
200124;0400;;;5;
200124;0500;;;8;
200124;0600;;;5;
200124;0700;;;3;
200124;0800;;;3;
