FECHA (YYMMDD);HORA (HHMM);;
200123;0600;16,7842;
200123;0700;18,0983;
200123;0800;19,8725;
200123;0900;21,9583;
200123;1000;23,7508;
200123;1100;26,0525;
200123;1200;27,8556;
200123;1300;29,7772;
200123;1400;32,185;
200123;1500;31,8317;
200123;1600;31,915;
200123;1700;31,2308;
200123;1800;29,4;
200123;1900;26,8633;
200123;2000;25,0708;
200123;2100;24,0708;
200123;2200;22,5042;
200123;2300;21,2917;
200124;0000;20,565;
200124;0100;19,64;
200124;0200;18,8325;
200124;0300;18,4442;
200124;0400;18,0225;
200124;0500;17,47;
200124;0600;17,4042;
200124;0700;18,7883;
200124;0800;19,8983;
200124;0900;22,05;
200124;1000;24,9817;
200124;1100;27,5592;
200124;1200;30,3295;
200124;1300;32,1792;
200124;1400;32,9008;
200124;1500;33,2133;
200124;1600;33,6517;
200124;1700;34,0108;
200124;1800;33,7467;
200124;1900;32,245;
200124;2000;29,2033;
200124;2100;27,085;
200124;2200;25,535;
200124;2300;23,2908;
200125;0000;23,3267;
200125;0100;23,8058;
200125;0200;21,2742;
200125;0300;19,5433;
200125;0400;18,045;
200125;0500;17,0775;
200125;0600;16,8067;
200125;0700;17,8992;
200125;0800;19,3567;
200125;0900;21,3025;
200125;1000;23,6642;
200125;1100;25,7417;
200125;1200;28,4833;
200125;1300;30,0943;
200125;1400;31,4225;
200125;1500;32,3283;
200125;1600;32,9788;
200125;1700;33,1063;
200125;1800;32,7083;
200125;1900;31,625;
200125;2000;28,9033;
200125;2100;27,3167;
200125;2200;26,7217;
200125;2300;26,3592;
200126;0000;25,7017;
200126;0100;24,7175;
200126;0200;23,7875;
200126;0300;22,6028;
200126;0400;21,2767;
200126;0500;20,2983;
200126;0600;20,14;
200126;0700;21,0783;
200126;0800;22,1269;
200126;0900;23,8018;
200126;1000;25,7417;
200126;1100;27,7333;
200126;1200;29,8914;
200126;1300;31,5439;
200126;1400;32,9778;
200126;1500;33,3944;
200126;1600;33,7103;
200126;1700;33,4485;
200126;1800;32,8259;
200126;1900;31,2217;
200126;2000;29,19;
200126;2100;28,5483;
200126;2200;27,5933;
200126;2300;26,3292;
200127;0000;25,5825;
200127;0100;24,7427;
200127;0200;23,7252;
200127;0300;22,381;
200127;0400;20,3575;
200127;0500;19,0175;
200127;0600;18,5775;
200127;0700;19,685;
200127;0800;21,225;
200127;0900;22,9108;
200127;1000;25,3133;
200127;1100;27,5983;
200127;1200;30,1408;
200127;1300;32,1882;
200127;1400;33,3469;
200127;1500;34,565;
200127;1600;34,7367;
200127;1700;34,6067;
200127;1800;33,7967;
200127;1900;32,4358;
200127;2000;29,68;
200127;2100;27,7575;
200127;2200;26,1567;
200127;2300;24,975;
200128;0000;23,8325;
200128;0100;24,5408;
200128;0200;23,43;
200128;0300;21,8125;
200128;0400;20,92;
200128;0500;19,975;
200128;0600;19,765;
200128;0700;21,0175;
200128;0800;22,0467;
200128;0900;23,3008;
200128;1000;25,4942;
200128;1100;28,1275;
200128;1200;29,2797;
200128;1300;30,4922;
200128;1400;31,6387;
200128;1500;32,7507;
200128;1600;32,53;
200128;1700;31,6217;
200128;1800;29,785;
200128;1900;27,4992;
200128;2000;25,94;
200128;2100;24,1233;
200128;2200;22,9858;
200128;2300;22,4425;
200129;0000;22,1275;
200129;0100;20,9968;
200129;0200;19,3677;
200129;0300;17,7527;
200129;0400;16,3542;
200129;0500;15,4508;
200129;0600;14,9392;
200129;0700;15,4342;
200129;0800;16,895;
200129;0900;18,2133;
200129;1000;;
200129;1100;22,7808;
200129;1200;24,7067;
200129;1300;26,7356;
200129;1400;28,4642;
200129;1500;29,73;
200129;1600;29,9267;
200129;1700;29,5058;
200129;1800;28,9992;
200129;1900;27,7667;
200129;2000;25,6575;
200129;2100;23,58;
200129;2200;22,23;
200129;2300;21,2317;
200130;0000;20,5783;
200130;0100;20,3883;
200130;0200;19,1025;
200130;0300;17,7342;
200130;0400;16,9642;
200130;0500;15,7683;
200130;0600;15,0775;
200130;0700;16,2092;
200130;0800;17,4867;
200130;0900;19,5125;
200130;1000;22,655;
200130;1100;25,7158;
200130;1200;27,4475;
200130;1300;29,8075;
200130;1400;31,5608;
200130;1500;32,3692;
200130;1600;33,2773;
200130;1700;33,0058;
200130;1800;32,635;
200130;1900;30,6483;
200130;2000;27,5408;
200130;2100;25,7383;
200130;2200;24,5117;
200130;2300;23,3092;
200131;0000;21,6;
200131;0100;19,5833;
200131;0200;18,15;
200131;0300;17,6742;
200131;0400;17,4183;
200131;0500;16,4583;
200131;0600;16,7;
200131;0700;18,0533;
200131;0800;19,5717;
200131;0900;21,7642;
200131;1000;24,7508;
200131;1100;27,0492;
200131;1200;29,1917;
200131;1300;31,4375;
200131;1400;33,0092;
200131;1500;33,9644;
200131;1600;34,0183;
200131;1700;33,7767;
200131;1800;33,15;
200131;1900;31,3367;
200131;2000;28,4533;
