FECHA (YYMMDD);HORA (HHMM);;
200117;0400;75,2083;
200117;0500;76,1483;
200117;0600;74,1058;
200117;0700;58,9883;
200117;0800;52,0917;
200117;0900;45,815;
200117;1000;40,4258;
200117;1100;35,8359;
200117;1200;30,7558;
200117;1300;25,5125;
200117;1400;24,5108;
200117;1500;24,31;
200117;1600;25,3917;
200117;1700;24,3473;
200117;1800;26,2083;
200117;1900;30,3975;
200117;2000;34,3917;
200117;2100;36,4808;
200117;2200;39,7742;
200117;2300;47,1742;
200118;0000;52,2267;
200118;0100;59,4;
200118;0200;65,7358;
200118;0300;68,1508;
200118;0400;69,5992;
200118;0500;72,3333;
200118;0600;72,4658;
200118;0700;65,1283;
200118;0800;56,2125;
200118;0900;51,8467;
200118;1000;45,2683;
200118;1100;41,0467;
200118;1200;36,76;
200118;1300;32,1333;
200118;1400;30,005;
200118;1500;31,8525;
200118;1600;33,0442;
200118;1700;32,665;
200118;1800;36,6375;
200118;1900;39,615;
200118;2000;40,785;
200118;2100;43,8767;
200118;2200;45,7092;
200118;2300;51,1075;
200119;0000;56,0917;
200119;0100;58,2167;
200119;0200;60,5383;
200119;0300;63,21;
200119;0400;66,6317;
200119;0500;68,6917;
200119;0600;68,8933;
200119;0700;63,8767;
200119;0800;57,5333;
200119;0900;53,2683;
200119;1000;47,243;
200119;1100;43,963;
200119;1200;39,9537;
200119;1300;36,6387;
200119;1400;36,5286;
200119;1500;39,2917;
200119;1600;41,4575;
200119;1700;46,66;
200119;1800;50,6525;
200119;1900;52,6792;
200119;2000;57,9533;
200119;2100;59,8508;
200119;2200;64,0792;
200119;2300;68,33;
200120;0000;71,7885;
200120;0100;73,5142;
200120;0200;79;
200120;0300;82,9167;
200120;0400;84,425;
200120;0500;84,6917;
200120;0600;84,65;
200120;0700;79,0891;
200120;0800;69,5684;
200120;0900;55,3275;
200120;1000;49,1067;
200120;1100;41,5767;
200120;1200;39,0608;
200120;1300;32,255;
200120;1400;28,845;
200120;1500;25,5458;
200120;1600;24,4225;
200120;1700;24,2967;
200120;1800;24,9033;
200120;1900;28,9067;
200120;2000;36,1992;
200120;2100;37,0275;
200120;2200;39,15;
200120;2300;42,8292;
200121;0000;47,4217;
200121;0100;50,865;
200121;0200;56,9117;
200121;0300;59,5367;
200121;0400;63,0258;
200121;0500;68,7292;
200121;0600;67,3458;
200121;0700;61,7642;
200121;0800;57,1217;
200121;0900;51,7656;
200121;1000;46,0934;
200121;1100;39,855;
200121;1200;34,1851;
200121;1300;28,2642;
200121;1400;26,3783;
200121;1500;26,5192;
200121;1600;28,4825;
200121;1700;28,8225;
200121;1800;30,9542;
200121;1900;37,7858;
200121;2000;42,7658;
200121;2100;46,4867;
200121;2200;48,6667;
200121;2300;56,215;
200122;0000;61,6792;
200122;0100;66,3199;
200122;0200;67,84;
200122;0300;71,2925;
200122;0400;72,8867;
200122;0500;77,1133;
200122;0600;78,6934;
200122;0700;69,8824;
200122;0800;61,3042;
200122;0900;53,9742;
200122;1000;50,1592;
200122;1100;47,1017;
200122;1200;44,4092;
200122;1300;43,1842;
200122;1400;42,1517;
200122;1500;41,4442;
200122;1600;40,3392;
200122;1700;42,55;
200122;1800;45,6758;
200122;1900;50,8383;
200122;2000;56,0217;
200122;2100;61,7992;
200122;2200;65,6025;
200122;2300;69,3892;
200123;0000;74,6925;
200123;0100;76,2958;
200123;0200;76,2361;
200123;0300;79,2134;
200123;0400;81,364;
200123;0500;82,3917;
200123;0600;80,4833;
200123;0700;74,65;
200123;0800;67,6042;
200123;0900;60,685;
200123;1000;54,8092;
200123;1100;49,1567;
200123;1200;44,8028;
200123;1300;39,7502;
200123;1400;34,6042;
200123;1500;36,6717;
200123;1600;35,9008;
200123;1700;36,8308;
200123;1800;40,6083;
200123;1900;46,935;
200123;2000;50,5083;
200123;2100;52,1783;
200123;2200;58,0617;
200123;2300;62,9833;
200124;0000;65,205;
200124;0100;68,1633;
200124;0200;70,8234;
200124;0300;71,8275;
200124;0400;73,5125;
200124;0500;76,6067;
200124;0600;75,5408;
200124;0700;62,3642;
200124;0800;56,8108;
200124;0900;51,2208;
200124;1000;44,4533;
200124;1100;36,8175;
200124;1200;28,0528;
200124;1300;24,6133;
200124;1400;24,085;
200124;1500;24,8108;
200124;1600;23,2492;
200124;1700;21,0692;
200124;1800;18,6508;
200124;1900;20,5342;
200124;2000;25,97;
200124;2100;30,0892;
200124;2200;33,0858;
200124;2300;39,2625;
200125;0000;36,4058;
200125;0100;33,1742;
200125;0200;39,9833;
200125;0300;44,1658;
200125;0400;46,7017;
200125;0500;47,3683;
200125;0600;47,5867;
200125;0700;45,0367;
200125;0800;43,8375;
200125;0900;40,4667;
200125;1000;36,7058;
200125;1100;33,7133;
200125;1200;30,1367;
200125;1300;28,9726;
200125;1400;28,6383;
200125;1500;26,9625;
200125;1600;26,6207;
200125;1700;26,9256;
200125;1800;28,69;
200125;1900;32,4817;
200125;2000;39,2975;
200125;2100;43,4558;
200125;2200;44,935;
200125;2300;43,7783;
200126;0000;44,9267;
200126;0100;47,9292;
200126;0200;51,8292;
200126;0300;56,659;
200126;0400;62,645;
200126;0500;67,7875;
200126;0600;69,1425;
200126;0700;66,1934;
200126;0800;63,0603;
200126;0900;57,8085;
200126;1000;52,8451;
200126;1100;47,655;
200126;1200;41,2346;
200126;1300;36,4254;
200126;1400;34,1187;
200126;1500;34,1044;
200126;1600;30,0897;
200126;1700;29,7372;
200126;1800;33,5959;
200126;1900;37,42;
